--- AR Telemetry Log Started at 2026-04-30T09:31:16.340Z ---
2026-04-30T09:31:38.332Z | 09:31:27.068 | phase1 | P1:env:scripts:detail | [{"i":0,"src":"https://192.168.29.169:5173/@vite/client","async":false,"defer":false,"type":"module"},{"i":1,"src":"https://cdn.jsdelivr.net/npm/aframe@1.7.0/dist/aframe.min.js","async":false,"defer":false,"type":"text/javascript"},{"i":2,"src":"https://cdn.jsdelivr.net/npm/@ar-js-org/ar.js@3.4.8/aframe/build/aframe-ar.js","async":false,"defer":false,"type":"text/javascript"},{"i":3,"src":"https://192.168.29.169:5173/ar/app.js","async":false,"defer":false,"type":"module"}] | 18ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.069 | phase1 | P1:lib:globals | {"hasAFRAME":true,"hasTHREE":true} | 19ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.069 | phase1 | P1:lib:aframe | {"version":"1.7.0","keyNames":22} | 19ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.069 | phase1 | P1:lib:three | {"revision":"173"} | 19ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.070 | phase1 | P1:dom:observer | MutationObserver on body for <video> injection | 20ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.073 | phase1 | P1:hud:signalJitter | started | 23ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.076 | phase1 | P1:boot:app-js:end | {"ms":26} | 26ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.079 | phase1 | P1:life:pageshow | {"persisted":false} | 29ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.081 | phase1 | P1:life:visualViewport:resize | {"w":411.4285583496094,"h":838.4761962890625,"scale":1} | 31ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.082 | phase1 | P1:life:resize | {"innerW":411,"innerH":782,"dpr":2.625} | 32ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.110 | phase1 | P1:perm:camera:state | granted | {"onchange":"listener not used"} | 60ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.206 | phase1 | P1:life:visualViewport:resize | {"w":411.4285583496094,"h":782.4761962890625,"scale":1} | 156ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.244 | phase1 | P1:scene:loaded | {"id":"ar-scene"} | 194ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.245 | phase1 | P1:scene:attribs | {"arjs":{"trackingMethod":"best","sourceType":"webcam","debugUIEnabled":false,"detectionMode":"mono_and_matrix","matrixCodeType":"3x3","maxDetectionRate":60,"sourceWidth":1920,"sourceHeight":1080,"areaLearningButton":true,"performanceProfile":"default","labelingMode":"","videoTexture":false,"debug":false,"patternRatio":-1,"cameraParametersUrl":"","sourceUrl":"","deviceId":"","displayWidth":-1,"displayHeight":-1,"canvasWidth":-1,"canvasHeight":-1,"errorPopup":""},"embedded":true,"hasRenderer":true,"systemKeys":["camera","geometry","gltf-model","light","material","obb-collider","renderer","shadow","tracked-controls","webxr","arjs"]} | 195ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.246 | phase1 | P1:scene:gl | {"width":1078,"height":2052,"clientWidth":411,"clientHeight":806,"localName":"canvas","alpha":0} | 196ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.254 | phase1 | P1:scene:renderstart | 204ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.260 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 210ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.263 | phase1 | P1:life:visualViewport:resize | {"w":411.4285583496094,"h":806.4761962890625,"scale":1} | 213ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.264 | phase1 | P1:scene:canvas:measure | {"w":1078,"h":2115,"clientW":411,"clientH":806,"dpr":2.625} | 214ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.266 | phase1 | P1:stabilizer:offsets | {"scaleFactor":"15.38","halfSpanScaled":{"x":"4.12","y":"2.96"},"offsets":[{"corner":"top-left","offset":"(-4.12, 2.96, 0.00)"},{"corner":"top-right","offset":"(4.12, 2.96, 0.00)"},{"corner":"bottom-left","offset":"(-4.12, -2.96, 0.00)"},{"corner":"bottom-right","offset":"(4.12, -2.96, 0.00)"}]} | 216ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.284 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 234ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.422 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 372ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.702 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 652ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.749 | phase1 | P1:scene:canvas:measure | {"w":1078,"h":2115,"clientW":411,"clientH":806,"dpr":2.625} | 699ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.847 | phase1 | P1:dom:mutation | video nodes added | {"count":1,"detail":[{"i":0,"id":"arjs-video","className":"","readyState":0,"videoWidth":0,"videoHeight":0,"paused":true,"muted":false,"hasSrcObject":true,"parent":"BODY"}]} | 796ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.849 | phase1 | P1:fix:reparent-ar-video | {"from":"BODY","to":"ar-viewport (first child, under a-scene)","id":"arjs-video"} | 799ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.850 | phase1 | P1:dom:mutation | video nodes added | {"count":1,"detail":[{"i":0,"id":"arjs-video","className":"","readyState":0,"videoWidth":0,"videoHeight":0,"paused":false,"muted":false,"hasSrcObject":true,"parent":"DIV"}]} | 800ms from boot
